CVE-2018-20187, 1.11.20, 2.8.0
CVE-2018-12435, 2.5.0, 2.7.0
CVE-2018-9860, 1.11.32, 2.6.0
CVE-2018-9127, 2.2.0, 2.5.0
CVE-2017-14737, 0.7.0, 2.3.0
CVE-2017-2801, 1.6.0, 2.1.0
CVE-2017-7252, 1.11.0, 2.1.0
CVE-2016-9132, 0.7.0, 1.11.34
CVE-2016-8871, 1.11.29, 1.11.33
CVE-2016-6878, 1.11.12, 1.11.31
CVE-2016-6879, 1.11.0, 1.11.31
CVE-2016-2849, 1.7.15, 1.11.29
CVE-2016-2850, 1.11.0, 1.11.29
CVE-2016-2196, 1.11.10, 1.11.27
CVE-2016-2195, 1.9.18, 1.11.27
CVE-2016-2194, 1.7.15, 1.11.27
CVE-2015-7824, 1.11.0, 1.11.22
CVE-2015-7825, 1.11.6, 1.11.22
CVE-2015-7826, 1.11.0, 1.11.22
CVE-2015-7827, 0.7.0, 1.11.22
CVE-2015-5726, 1.10, 1.11.19
CVE-2015-5727, 1.10, 1.11.19
CVE-2014-9742, 1.8.3, 1.11.9
