2.8.0, 10/1/2018
2.7.0, 7/2/2018
2.6.0, 4/10/2018
2.5.0, 4/2/2018
2.4.0, 1/8/2018
2.3.0, 10/2/2017
2.2.0, 8/7/2017
2.1.0, 4/4/2017
2.0.1, 1/9/2017
2.0.0, 1/6/2017
1.11.34, 11/28/2016
1.11.33, 10/26/2016
1.11.32, 9/28/2016
1.11.31, 8/30/2016
1.11.29, 3/20/2016
1.11.27, 2/1/2016
1.11.22, 10/26/2015
1.11.20, 9/7/2015
1.11.19, 8/3/2015
1.11.12, 1/2/2015
1.11.9, 4/10/2014
1.11.6, 12/29/2013
1.11.0, 7/19/2012
1.10, 6/20/2011
1.9.18, 6/3/2011
1.8.3, 7/11/2009
1.7.15, 10/7/2008
1.6.0, 12/17/2006
0.7.0, 3/1/2001
