21.04, 4/22/2021
20.10, 10/22/2020
20.04.2, 2/4/2021
20.04.1, 8/6/2020
20.04, 4/23/2020
19.10, 10/17/2019
19.04, 4/18/2019
18.10, 10/18/2018
18.04.5, 8/13/2020
18.04.4, 2/12/2020
18.04.3, 8/8/2019
18.04.2, 2/15/2019
18.04.1, 7/26/2018
18.04, 4/26/2018
17.10, 10/19/2017
17.04, 4/13/2017
16.10, 4/21/2016
16.04.7, 8/13/2020
16.04.6, 2/28/2019
16.04.5, 8/2/2018
16.04.4, 3/1/2018
16.04.3, 8/3/2017
16.04.2, 2/16/2017
16.04.1, 7/21/2016
16.04, 4/21/2016
15.10, 10/22/2015
15.1, 10/22/2015
15.04, 4/23/2015
14.10, 10/23/2014
14.04.6, 3/7/2019
14.04.5, 8/4/2016
14.04.4, 2/18/2016
14.04.3, 8/6/2015
14.04.2, 2/20/2015
14.04.1, 7/24/2014
14.04, 4/17/2014
13.10, 10/17/2013
13.04, 4/25/2013
12.10, 10/18/2012
12.04, 4/26/2012
11.10, 3/7/2011
11.04, 8/17/2010
10.10, 4/2/2010
10.04, 9/19/2009
9.10, 10/29/2009
9.04, 4/23/2009
8.10, 10/30/2008
8.04, 4/24/2008
7.10, 10/18/2007
7.04, 4/19/2007
6.10, 10/26/2006
6.06, 6/1/2006
5.10, 10/12/2005
5.04, 4/8/2005
4.10, 10/20/2004
