3.4.2, 12/18/2020
3.4.1, 12/9/2020
3.4.0, 10/29/2020
3.3.1, 10/1/2020
3.2.7, 9/23/2020
3.3.0, 9/15/2020
3.2.10, 12/18/2020
3.2.9, 12/9/2020
3.2.8, 10/29/2020
3.2.7, 9/23/2020
3.2.6, 8/12/2020
3.2.5, 7/1/2020
3.2.4, 5/19/2020
3.2.3, 4/8/2020
3.2.2, 2/26/2020
3.2.1, 1/15/2020
3.2.0, 12/18/2019
3.0.7, 12/4/2019
3.0.6, 10/23/2019
3.0.5, 9/20/2019
3.0.4, 9/11/2019
3.0.3, 7/17/2019
3.0.2, 5/21/2019
3.0.1, 4/8/2019
3.0.0, 2/28/2019
2.6.10, 7/17/2019
2.6.9, 5/21/2019
2.6.8, 4/8/2019
2.6.7, 2/27/2019
2.6.6, 1/8/2019
2.6.5, 11/28/2018
2.6.4, 10/11/2018
2.6.3, 8/29/2018
2.6.2, 7/18/2018
2.6.1, 5/22/2018
2.6.0, 4/24/2018
2.4.16, 7/17/2019
2.4.15, 5/21/2019
2.4.14, 4/8/2019
2.4.13, 2/27/2019
2.4.12, 1/8/2019
2.4.11, 11/28/2018
2.4.10, 10/11/2018
2.4.9, 8/29/2018
2.4.8, 7/18/2018
2.4.7, 5/22/2018
2.4.6, 4/3/2018
2.4.5, 2/23/2018
2.4.4, 1/11/2018
2.4.3, 11/30/2017
2.4.2, 10/10/2017
2.4.1, 8/29/2017
2.4.0, 7/19/2017
2.2.17, 8/29/2018
2.2.16, 7/18/2018
2.2.15, 5/22/2018
2.2.14, 4/3/2018
2.2.13, 2/23/2018
2.2.12, 1/11/2018
2.2.11, 11/30/2017
2.2.10, 10/10/2017
2.2.9, 8/29/2017
2.2.8, 7/18/2017
2.2.7, 6/1/2017
2.2.6, 4/12/2017
2.2.5, 3/3/2017
2.2.4, 1/23/2017
2.2.3, 12/14/2016
2.2.2, 11/16/2016
2.2.1, 10/4/2016
2.2.0, 9/7/2016
2.0.16, 10/10/2017
2.0.15, 8/29/2017
2.0.14, 7/18/2017
2.0.13, 6/1/2017
2.0.12, 4/12/2017
2.0.11, 3/3/2017
2.0.10, 1/23/2017
2.0.9, 12/14/2016
2.0.8, 11/16/2016
2.0.7, 10/4/2016
2.0.6, 9/8/2016
2.0.5, 7/27/2016
2.0.4, 6/7/2016
2.0.3, 4/22/2016
2.0.2, 2/26/2016
2.0.1, 12/29/2015
2.0.0, 11/18/2015
1.12.13, 7/27/2016
1.12.12, 6/7/2016
1.12.11, 4/22/2016
1.12.10, 2/26/2016
1.12.9, 12/29/2015
1.12.8, 10/14/2015
1.12.7, 8/12/2015
1.12.6, 6/17/2015
1.12.5, 5/12/2015
1.12.4, 3/4/2015
1.12.3, 1/7/2015
1.12.2, 11/12/2014
1.12.1, 9/16/2014
1.12.0, 7/31/2014
1.10.14, 5/12/2015
1.10.13, 3/4/2015
1.10.12, 1/7/2015
1.10.11, 11/12/2014
1.10.10, 9/16/2014
1.10.9, 7/31/2014
1.10.8, 6/12/2014
1.10.7, 4/22/2014
1.10.6, 3/7/2014
1.10.5, 12/19/2013
1.10.4, 12/17/2013
1.10.3, 11//1/2013
1.10.2, 9/10/2013
1.10.1, 7/26/2013
1.10.0, 6/5/2013
1.8.15, 6/12/2014
1.8.14, 4/22/2014
1.8.13, 3/7/2014
1.8.12, 12/17/2013
1.8.11, 11//1/2013
1.8.10, 9/10/2013
1.8.9, 7/26/2013
1.8.8, 6/7/2013
1.8.7, 5/17/2013
1.8.6, 3/6/2013
1.8.5, 1/29/2013
1.8.4, 11/28/2012
1.8.3, 10/2/2012
1.8.2, 8/15/2012
1.8.1, 7/23/2012
1.8.0, 6/21/2012
1.6.16, 6/7/2013
1.6.15, 5/17/2013
1.6.14, 3/6/2013
1.6.13, 1/29/2013
1.6.12, 11/28/2012
