2.8.0, 10/1/2018
2.7.0, 7/2/2018
2.6.0, 4/10/2018
2.5.0, 4/2/2018
2.4.0, 1/8/2018
2.3.0, 10/2/2017
2.2.0, 8/7/2017
2.1.0, 4/4/2017
2.0.1, 1/9/2017
2.0.0, 1/6/2017
1.11.34, 11/28/2016
1.11.33, 10/26/2016
1.11.32, 9/28/2016
1.11.31, 8/30/2016
1.11.30, 6/19/2016
1.11.29, 3/20/2016
1.11.28, 2/1/2016
1.11.27, 2/1/2016
1.11.26, 1/4/2016
1.11.25, 12/7/2015
1.11.24, 11/4/2015
1.11.23, 10/26/2015
1.11.22, 10/26/2015
1.11.21, 10/11/2015
1.11.20, 9/7/2015
1.11.19, 8/3/2015
1.11.18, 7/5/2015
1.11.17, 6/18/2015
1.11.16, 3/29/2015
1.11.15, 3/8/2015
1.11.14, 2/27/2015
1.11.13, 1/11/2015
1.11.12, 1/2/2015
1.11.11, 12/21/2014
1.11.10, 12/10/2014
1.11.9, 4/10/2014
1.11.8, 2/13/2014
1.11.7, 1/10/2014
1.11.6, 12/29/2013
1.11.5, 11/10/2013
1.11.4, 7/25/2013
1.11.3, 4/11/2013
1.11.2, 3/2/2013
1.11.1, 10/30/2012
1.11.0, 7/19/2012
1.10.16, 4/4/2017
1.10.15, 1/12/2017
1.10.14, 11/28/2016
1.10.13, 4/23/2016
1.10.12, 2/3/2016
1.10.11, 2/1/2016
1.10.10, 8/3/2015
1.10.9, 12/13/2014
1.10.8, 4/10/2014
1.10.7, 12/29/2013
1.10.6, 11/10/2013
1.10.5, 3/2/2013
1.10.4, 1/7/2013
1.10.3, 7/10/2012
1.10.2, 6/17/2012
1.10.1, 7/11/2011
1.10.0, 6/20/2011
1.9.18, 6/3/2011
1.9.17, 4/29/2011
1.9.16, 4/11/2011
1.9.15, 3/21/2011
1.9.14, 3/1/2011
1.9.13, 2/19/2011
1.9.12, 12/13/2010
1.9.11, 11/29/2010
1.9.10, 8/12/2010
1.9.9, 6/28/2010
1.9.8, 6/14/2010
1.9.7, 4/27/2010
1.9.6, 4/9/2010
1.9.5, 3/29/2010
1.9.4, 3/9/2010
1.9.3, 11/19/2009
1.9.2, 11/3/2009
1.9.1, 10/23/2009
1.9.0, 9/9/2009
1.8.15, 2/13/2016
1.8.14, 7/18/2012
1.8.13, 7/2/2011
1.8.12, 6/20/2011
1.8.11, 11/2/2010
1.8.10, 8/31/2010
1.8.9, 6/16/2010
1.8.8, 11/3/2009
1.8.7, 9/9/2009
1.8.6, 8/13/2009
1.8.5, 7/23/2009
1.8.4, 7/12/2009
1.8.3, 7/11/2009
1.8.2, 4/7/2009
1.8.1, 1/20/2009
1.8.0, 12/8/2008
