version_number,version_name,release_date,loc_c,loc_cpp,loc_header,loc_c_cpp,loc_diff_prev_major,cves_introduced,ccn
18.04,bionic,4/26/2018,13061951,1913,3765974,13063864,356617,24,4.3
"""17.10""",artful,10/19/2017,12705350,1897,3733851,12707247,691111,6,4.3
17.04,zesty,4/13/2017,12014239,1897,3042465,12016136,331632,0,4.3
"""16.10""",yakkety,4/21/2016,11682864,1640,2926894,11684504,354310,0,4.3
16.04,xenial,4/21/2016,11328556,1638,2812380,11330194,604878,134,4.3
"""15.10""",wily,10/22/2015,10723725,1591,2604553,10725316,392352,5,4.3
15.04,vivid,4/23/2015,10331376,1588,2216415,10332964,204369,3,4.3
"""14.10""",utopic,10/23/2014,10127007,1588,2163106,10128595,275137,0,4.4
14.04,trusty,4/17/2014,9851870,1588,2121160,9853458,508431,733,4.4
"""13.10""",saucy,10/17/2013,9343443,1584,2026217,9345027,526125,0,N/A
13.04,raring,4/25/2013,8817319,1583,1857924,8818902,350849,0,N/A
"""12.10""",quantal,10/18/2012,8466470,1583,1729314,8468053,367406,1,N/A
12.04,precise,4/26/2012,8099064,1583,1657471,8100647,213658,571,N/A
"""11.10""",oneiric,3/7/2011,7885410,1579,1633309,7886989,198208,0,N/A
11.04,natty,8/17/2010,7687201,1580,1632418,7688781,593334,0,N/A
"""10.10""",maverick,4/2/2010,7093888,1559,1474477,7095447,576049,0,N/A
10.04,lucid,9/19/2009,6517839,1559,1383586,6519398,N/A,47,N/A
