version,release_date,loc_c,loc_cpp,loc_header,loc_c_cpp,loc_diff_prev_major,prev_minor_version,loc_diff_prev_minor,cves_introduced,cve_loc_ratio_prev_minor,ccn
3.0.0,2/28/2019,3264823,76579,166832,3341402,143690,2.6.7,141047,0,0,2.9
2.6.0,4/24/2018,3122521,75191,161735,3197712,117120,2.4.6,112430,5,0.04447211598,3
2.4.0,7/19/2017,3009842,70750,158089,3080592,117457,2.2.8,112802,29,0.2570876403,3
2.2.0,9/7/2016,2898324,64811,149754,2963135,157318,2.0.5,153050,69,0.4508330611,3
2.0.0,11/18/2015,2744688,61129,157426,2805817,203989,1.12.8,198386,68,0.3427661226,3
1.12.0,7/31/2014,2565918,35910,148221,2601828,295340,1.10.9,248853,75,0.301382744,3
1.10.0,6/5/2013,2295445,11043,140846,2306488,174243,1.8.12,172156,38,0.2207300355,3
1.8.0,6/21/2012,2129186,3059,120523,2132245,214943,1.6.8,212569,55,0.2587395152,3.1
1.6.0,6/7/2011,1917302,0,119213,1917302,106092,1.4.7,105050,41,0.3902903379,3
1.4.0,8/30/2010,1811210,0,116151,1811210,N/A,1.0.16,346307,24,0.06930267075,3
2.6.7,N/A,3124715,75640,161791,3200355,N/A,N/A,N/A,N/A,N/A,N/A
2.4.6,N/A,3013782,71500,158323,3085282,N/A,N/A,N/A,N/A,N/A,N/A
2.2.8,N/A,2902656,65134,149691,2967790,N/A,N/A,N/A,N/A,N/A,N/A
2.0.5,N/A,2747744,62341,157684,2810085,N/A,N/A,N/A,N/A,N/A,N/A
1.12.8,N/A,2571481,35950,148248,2607431,N/A,N/A,N/A,N/A,N/A,N/A
1.10.9,N/A,2341938,11037,140863,2352975,N/A,N/A,N/A,N/A,N/A,N/A
1.8.12,N/A,2131273,3059,120555,2134332,N/A,N/A,N/A,N/A,N/A,N/A
1.6.8,N/A,1919676,0,119233,1919676,N/A,N/A,N/A,N/A,N/A,N/A
1.4.7,N/A,1812252,0,116172,1812252,N/A,N/A,N/A,N/A,N/A,N/A
1.0.16,N/A,1464903,0,51446,1464903,N/A,N/A,N/A,N/A,N/A,N/A
